File summary (Tue Aug 14 20:59:59 2018)
---------------------------------------

Filename	Class	TestId (can be used as param to AllTests)	Number of Tests	Number of Suites	Number of manual Suites	Parent Class	has JUnit-BEGIN
../src/test/edu/internet2/middleware/grouper/filter/TestGQStemName.java	TestGQStemName	filter.TestGQStemName	13	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/TestGQUnionFilter.java	TestGQUnionFilter	filter.TestGQUnionFilter	3	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/TestGroupTypeFilter.java	TestGroupTypeFilter	filter.TestGroupTypeFilter	5	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/TestQuery.java	TestQuery	filter.TestQuery	20	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/TestQueryMembershipModifiedAfter.java	TestQueryMembershipModifiedAfter	filter.TestQueryMembershipModifiedAfter	3	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/TestQueryMembershipModifiedBefore.java	TestQueryMembershipModifiedBefore	filter.TestQueryMembershipModifiedBefore	3	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/Test_api_ChildGroupFilter.java	Test_api_ChildGroupFilter	filter.Test_api_ChildGroupFilter	5	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/Test_api_ChildStemFilter.java	Test_api_ChildStemFilter	filter.Test_api_ChildStemFilter	5	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/group/AllGroupTests.java	AllGroupTests	group.AllGroupTests	0	16	0	?	1
../src/test/edu/internet2/middleware/grouper/group/GroupDataTest.java	GroupDataTest	group.GroupDataTest	2	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/group/TestGAttr.java	TestGAttr	group.TestGAttr	18	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/group/TestGroup.java	TestGroup	group.TestGroup	30	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/group/TestGroup1.java	TestGroup1	group.TestGroup1	50	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/group/TestGroupAddDeleteMember.java	TestGroupAddDeleteMember	group.TestGroupAddDeleteMember	5	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/group/TestGroupFinder.java	TestGroupFinder	group.TestGroupFinder	22	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/group/TestGroupModifyAttributes.java	TestGroupModifyAttributes	group.TestGroupModifyAttributes	20	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/group/TestGroupReadonlyViewonly.java	TestGroupReadonlyViewonly	group.TestGroupReadonlyViewonly	1	0	0	GrouperTest	0
